anno,attoid,cat,mese,metratura,posizione,prezzo,tipo,zonaOMI,garage,cantina
2021,06289061-7256-4f09-98e6-cf015a087f58,A02,6,183 mq,"9.21475213800606687750802645333816531462, 45.4887252698264384514026548981317476532",670000,Residenziale singolo,D36,FALSE,['4 mq']
2021,71b00594-4df1-4b35-9d1a-aba04873c655,A03,7,95 mq,"9.2148116, 45.48859",350000,Residenziale singolo,D36,FALSE,FALSE
2021,ea5119c7-8ffa-4521-bd9c-a2ec7cae4289,A03,7,46 mq,"9.2148116, 45.48859",165000,Residenziale singolo,D36,FALSE,FALSE
2021,68eb552d-5478-4afe-bc31-720f6b34f3ae,A03,8,94 mq,"9.21361020563026812665122437585878646091, 45.4893311457876365092068099154192055148",435000,Residenziale singolo,D36,FALSE,FALSE
2021,4a5b25cb-c755-4679-a83d-7822e6bceae8,A04,9,57 mq,"9.2135009, 45.489979",35000,Residenziale singolo,D36,FALSE,FALSE
2021,75f6a6d8-0c07-4c1c-9452-9d315c0ffe06,A02,9,179 mq,"9.2144438, 45.4895227",730000,Residenziale singolo,D36,FALSE,FALSE
2021,73090f7c-71b8-405f-b50b-ec112bede8b1,A03,9,41 mq,"9.21483036361141, 45.4886151602155",215000,Residenziale singolo,D36,FALSE,FALSE
2021,2e571051-ae72-4332-aae0-5c5770b2957c,A03,9,38 mq,"9.2174922, 45.4876092",185000,Residenziale singolo,D36,FALSE,FALSE
2021,9fe48495-95e4-4a7a-b58d-529ee8966b81,A03,9,110 mq,"9.215972, 45.4869635",435000,Residenziale singolo,D36,['11 mq'],['4 mq']
2021,ac8001a8-90ea-4734-8985-732fe6f11333,A03,10,40 mq,"9.2157743, 45.4865219",210000,Residenziale singolo,D36,FALSE,['7 mq']
2021,1cf5f1a3-dcc0-448f-b282-bcf84f8e6bd4,A04,11,2.5 vani,"9.21449869522113626526221493457762167461, 45.4895138807402980127822795080740906061",205000,Residenziale singolo,D36,FALSE,FALSE
2021,b14a4eb2-0299-49ea-bca6-e1542c7be379,A03,12,118 mq,"9.2144512, 45.4887005",524000,Residenziale singolo,D36,FALSE,FALSE
2021,c81b98bc-28d6-4098-853e-6865fbba58a6,A03,12,83 mq,"9.21483036361141, 45.4886151602155",325000,Residenziale singolo,D36,FALSE,FALSE
2021,1e7802bd-222a-455c-b1e3-ec7cf71d4bdb,A03,12,81 mq,"9.2178137, 45.4866169",245000,Residenziale singolo,D36,FALSE,FALSE
2021,8662d120-b042-4e78-bf7b-c46e337b21bd,A03,1,3 vani,"9.1961256, 45.5003397",55475,Residenziale singolo,D36,FALSE,FALSE
2021,2e0048c5-b37b-4525-a4d2-8b6a5b3816d0,A03,4,105 mq,"9.1961256, 45.5003397",450000,Residenziale singolo,D36,FALSE,FALSE
2021,581b9f20-f581-4e15-9127-9d5eb14641c8,A03,5,96 mq,"9.1961256, 45.5003397",350000,Residenziale singolo,D36,FALSE,['13 mq']
2021,e5100b0c-ae76-42d1-a0a0-1fe677736ae0,A03,6,109 mq,"9.1963422, 45.5007583",300000,Residenziale singolo,D36,FALSE,FALSE
2021,ed4f89c2-d8f7-4c28-8384-3f6edbd247d0,A03,6,46 mq,"9.1961280257432974752020599738667573737, 45.5003823920332989340736179611305134068",165000,Residenziale singolo,D36,FALSE,FALSE
2021,85541156-dede-465f-993d-19074561eb26,A03,6,88 mq,"9.1963422, 45.5007583",300000,Residenziale singolo,D36,FALSE,['9 mq']
2021,e5522644-10e7-4a5d-b4ee-dfae61e52b27,A03,9,49 mq,"9.1961256, 45.5003397",260000,Residenziale singolo,D36,FALSE,FALSE
2021,e6fc9071-959b-40da-923d-06f87bb505b4,A03,10,63 mq,"9.1963422, 45.5007583",185000,Residenziale singolo,D36,FALSE,FALSE
2021,595846e1-fb88-4036-b525-8adb73af6348,A03,10,54 mq,"9.1975001, 45.5054501",210000,Residenziale singolo,D36,FALSE,FALSE
2021,4d001aa2-8ff3-4f4c-98ac-7149ec42ad4f,A03,12,46 mq,"9.1963422, 45.5007583",205000,Residenziale singolo,D36,FALSE,FALSE
2021,ed5b0acb-d179-4f9c-b185-5f4bfe8b9e68,A03,1,4.5 vani,"9.1972719, 45.5032443",240000,Residenziale singolo,D36,FALSE,FALSE
2021,922e03dd-89fb-428e-a0a2-a80849629556,A03,4,66 mq,"9.1981362, 45.5078822",180000,Residenziale singolo,D36,FALSE,FALSE
2021,79c0f2d3-302c-4fcb-9286-9bdc91e47bc4,A04,5,52 mq,"9.19752350649316391193517482492224902592, 45.5054054991128808155988385500432870561",160000,Residenziale singolo,D36,FALSE,['5 mq']
2021,619e4bbf-512a-4313-b673-4796a002abd2,A03,5,79 mq,"9.1972719, 45.5032443",142000,Residenziale singolo,D36,FALSE,FALSE
2021,fdf506f4-95c9-4a76-950a-f862b5fbf4b8,A03,5,33 mq,"9.1987404, 45.5104259",165000,Residenziale singolo,D36,FALSE,FALSE
2021,6f5e1553-72b4-4d34-9e12-ac12f4bd5dbb,A03,6,37 mq,"9.1976048, 45.5047418",210000,Residenziale singolo,D36,FALSE,['8 mq']
2021,20d3e6ae-b5fb-4365-8adc-bc6a89659ea1,A03,6,43 mq,"9.1976048, 45.5047418",230000,Residenziale singolo,D36,FALSE,['8 mq']
2021,4fa64d06-430a-469b-b6d7-74bb84265f3d,A03,6,40 mq,"9.1972719, 45.5032443",220000,Residenziale singolo,D36,FALSE,FALSE
2021,5bf93d75-002f-4714-92de-5aa8cda2c635,A02,6,118 mq,"9.19752350649316391193517482492224902592, 45.5054054991128808155988385500432870561",375000,Residenziale singolo,D36,['18 mq'],FALSE
2021,c7aa7660-6933-4c60-8018-e7db5ebf6563,A03,9,54 mq,"9.1962867, 45.4978067",240000,Residenziale singolo,D36,FALSE,FALSE
2021,63e76d41-eea9-42c7-aea7-eb72d239b7e5,A03,10,54 mq,"9.1972719, 45.5032443",247500,Residenziale singolo,D36,FALSE,['7 mq']
2021,31462d90-5cbc-447a-bcdb-b918b4b32782,A03,11,63 mq,"9.1972719, 45.5032443",165000,Residenziale singolo,D36,FALSE,FALSE
2021,59ee177f-ee63-4604-92cf-dd56b90cf84b,A03,11,57 mq,"9.1972719, 45.5032443",75000,Residenziale singolo,D36,FALSE,FALSE
2021,1f7f1b6b-abb9-44a8-b4a4-8095ef1e25e4,A03,11,60 mq,"9.1972719, 45.5032443",150000,Residenziale singolo,D36,FALSE,FALSE
2021,7ba85e6e-2411-498d-b6b3-c7a165a2e7f5,A03,12,78 mq,"9.1972719, 45.5032443",270000,Residenziale singolo,D36,FALSE,FALSE
2021,63090cd8-6da1-439f-8ad3-7c623c0734d0,A03,1,4 vani,"9.19676390596192617799704777426971197081, 45.4985604652907379304553729677724702756",175000,Residenziale singolo,D36,FALSE,FALSE
2021,b373b899-e889-424a-afd1-cbefc2488603,A03,2,5 vani,"9.1967499, 45.4983201",340000,Residenziale singolo,D36,FALSE,['6 mq']
2021,93720f09-e7c9-432e-ab79-2a3f172950db,A03,3,8 vani,"9.19709447074323, 45.5010191236269",405000,Residenziale singolo,D36,FALSE,FALSE
2021,1b237371-6cf1-422e-9564-2053f6e44188,A03,3,116 mq,"9.19709447074323, 45.5010191236269",415000,Residenziale singolo,D36,FALSE,['6 mq']
2021,2a3e9019-cb5d-44dd-86c4-0f7aa57c24a5,A03,4,55 mq,"9.19709447074323, 45.5010191236269",200000,Residenziale singolo,D36,FALSE,['9 mq']
2021,cff1d112-ed1d-42e8-9f74-df70b44f7e6a,A03,5,132 mq,"9.1967991, 45.4985114",318000,Residenziale singolo,D36,FALSE,FALSE
2021,f7b29ca9-1c84-4f1c-b494-894407c1e3b9,A03,5,80 mq,"9.1967991, 45.4985114",320000,Residenziale singolo,D36,FALSE,['6 mq']
2021,b827c89e-7d63-40ae-9ac5-05baedf5b41a,A03,5,58 mq,"9.19748135419938, 45.5030785241845",199000,Residenziale singolo,D36,FALSE,FALSE
2021,fcc37640-f297-4848-9559-0e15f71249c5,A03,6,73 mq,"9.1967499, 45.4983201",260000,Residenziale singolo,D36,FALSE,FALSE
2021,46fc680e-773c-45ad-9265-1a46f2e76493,A03,9,96 mq,"9.1967499, 45.4983201",300000,Residenziale singolo,D36,FALSE,FALSE
